game_id,player_name,player_game_number,variant_name,number_of_suits,number_of_players,score,max_score,player_rating,change_in_player_rating,avg_team_rating
993826,PHLspring,1,6 Suits,6,4,30,1,1209.509143373618,9.509143373618144,1207.6634403565502
993835,PHLspring,2,Prism (5 Suits),5,4,25,1,1223.5396670337686,14.030523660150491,1217.172583730168
993849,PHLspring,3,Prism (6 Suits),6,4,30,1,1237.224907060893,13.685240027124337,1217.5099239461088
993874,PHLspring,4,Rainbow (5 Suits),5,3,25,1,1250.851031339631,13.626124278737962,1225.77927611888
993898,PHLspring,5,Rainbow (6 Suits),6,4,30,1,1263.6605432139804,12.809511874349482,1229.5540502982135
993935,PHLspring,6,Pink (5 Suits),5,4,25,1,1283.6782977281928,20.01775451421236,1217.4900722318416
993941,PHLspring,7,Muddy Rainbow (5 Suits),5,3,25,1,1300.882967807519,17.204670079326206,1257.46256912098
993949,PHLspring,8,White (5 Suits),5,4,25,1,1312.2235540188703,11.340586211351363,1274.4700453225746
993959,PHLspring,9,Brown (5 Suits),5,4,25,1,1327.377597247893,15.15404322902259,1285.810631533926
993970,PHLspring,10,Omni (5 Suits),5,4,25,1,1347.7222777723264,20.344680524433443,1300.9646747629486
993986,PHLspring,11,No Variant,5,4,25,1,1354.634639236862,6.9123614645357065,1291.1299118738352
994253,PHLspring,12,No Variant,5,5,25,1,1363.3315509436004,8.69691170673832,1346.976694521879
994277,PHLspring,13,6 Suits,6,5,30,1,1371.569946966706,8.238396023105679,1355.6736062286172
994291,PHLspring,14,Pink (6 Suits),6,4,30,1,1382.5837436336496,11.013796666943565,1370.2170864788363
994296,PHLspring,15,White (6 Suits),6,4,0,0,1351.221667730429,-31.36207590322056,1340.8068753274756
994323,PHLspring,16,Omni (6 Suits),6,4,30,1,1369.9688748850397,18.74720715461057,1309.444799424255
994345,PHLspring,17,White (6 Suits),6,4,30,1,1379.6381228409052,9.669247955865558,1328.1920065788656
994355,PHLspring,18,Light Pink (5 Suits),5,4,24,0,1357.3937506714526,-22.244372169452618,1337.8612545347312
994358,PHLspring,19,Light Pink (5 Suits),5,4,0,0,1336.9292361658115,-20.464514505640864,1315.6168823652786
994378,PHLspring,20,Light Pink (5 Suits),5,4,25,1,1354.2201002711597,17.290864105347737,1367.0292267022387
994392,PHLspring,21,Prism (5 Suits),5,5,24,0,1326.044523430423,-28.17557684073654,1352.251802116832
994408,PHLspring,22,Clue Starved (5 Suits),5,3,25,1,1358.8526667065887,32.808143276165765,1338.4709661496274
994437,PHLspring,23,Clue Starved (6 Suits),6,3,29,0,1349.9824524721696,-8.870214234419109,1368.5450974861126
994446,PHLspring,24,Clue Starved (6 Suits),6,3,0,0,1341.5923390616776,-8.39011341049195,1360.4140677712285
994449,PHLspring,25,Clue Starved (6 Suits),6,3,0,0,1333.6383359743147,-7.954003087362935,1352.7231304782777
994457,PHLspring,26,Clue Starved (6 Suits),6,3,29,0,1326.0816655987933,-7.556670375521435,1345.4319609815282
994471,PHLspring,27,Clue Starved (5 Suits),5,4,25,1,1360.0075690674755,33.92590346868224,1296.2031748315433
994490,PHLspring,28,Muddy Rainbow (5 Suits),5,4,25,1,1373.2875624448054,13.279993377329902,1328.008709333433
993816,Ramanujan,1,No Variant,5,4,25,1,1210.2179204754,10.217920475399978,1200.0
993826,Ramanujan,2,6 Suits,6,4,30,1,1219.727063849018,9.509143373618144,1207.6634403565502
993835,Ramanujan,3,Prism (5 Suits),5,4,25,1,1233.7575875091684,14.030523660150266,1217.172583730168
993849,Ramanujan,4,Prism (6 Suits),6,4,30,1,1247.4428275362927,13.685240027124337,1217.5099239461088
993874,Ramanujan,5,Rainbow (5 Suits),5,3,25,1,1261.0689518150307,13.626124278737962,1225.77927611888
993898,Ramanujan,6,Rainbow (6 Suits),6,4,30,1,1273.8784636893802,12.809511874349482,1229.5540502982135
993949,Ramanujan,7,White (5 Suits),5,4,25,1,1285.2190499007315,11.340586211351363,1274.4700453225746
993959,Ramanujan,8,Brown (5 Suits),5,4,25,1,1300.373093129754,15.15404322902259,1285.810631533926
993970,Ramanujan,9,Omni (5 Suits),5,4,25,1,1320.7177736541876,20.344680524433443,1300.9646747629486
994191,Ramanujan,10,Prism (5 Suits),5,3,25,1,1331.0189303187692,10.30115666458164,1280.4030493084408
994194,Ramanujan,11,Brown (6 Suits),6,4,30,1,1344.7145083587477,13.695578039978272,1308.1335199822183
994211,Ramanujan,12,Pink (5 Suits),5,3,25,1,1360.9605225294818,16.24601417073427,1266.4351694990569
994218,Ramanujan,13,Brown (5 Suits),5,3,25,1,1375.6674178729272,14.706895343445469,1282.6811836697912
994241,Ramanujan,14,White (6 Suits),6,3,30,1,1384.4451410128397,8.777723139912268,1332.9203457593171
994253,Ramanujan,15,No Variant,5,5,25,1,1393.1420527195778,8.69691170673832,1346.976694521879
994277,Ramanujan,16,6 Suits,6,5,30,1,1401.3804487426837,8.238396023105679,1355.6736062286172
994291,Ramanujan,17,Pink (6 Suits),6,4,30,1,1412.394245409627,11.013796666943565,1370.2170864788363
994372,Ramanujan,18,Brown (6 Suits),6,3,30,1,1422.7710483377532,10.376802928126152,1367.5504875302652
994378,Ramanujan,19,Light Pink (5 Suits),5,4,25,1,1440.061912443101,17.290864105347737,1367.0292267022387
994392,Ramanujan,20,Prism (5 Suits),5,5,24,0,1411.8863356023644,-28.17557684073654,1352.251802116832
